"","AirportID","Name","City","Country","IATA","ICAO","Latitude","Longitude","Altitude","Timezone","DST","TzDatabaseTz","Type","Source"
"8238",9679,"Meteora","Meteora","Greece","\N","\N",39.7142,21.6311,1027,"2","E","Europe/Athens","unknown","User"
"8239",9680,"Port of Piran","Piran","Slovenia","\N","\N",45.5284,13.5684,0,"1","E","Europe/Ljubljana","unknown","User"
"8240",9681,"Dare County Regional Airport","Manteo","United States","\N","\N",35.922944,-75.697289,0,"-5","A","America/New_York","airport","User"
"8241",9682,"Zeleznicka Stanica Railway Station","Novi Sad","Serbia","\N","\N",45.2657,19.8294,262,"1","E","Europe/Belgrade","station","User"
"8242",9683,"Kosice Railway Station","Kosice","Slovakia","\N","\N",48.7225,21.2681,676,"1","E","Europe/Bratislava","station","User"
"8243",9684,"Gare de Metz-Ville","Metz","France","\N","\N",49.1098,6.1772,573,"1","E","Europe/Paris","unknown","User"
"8244",9685,"Siofok Vasutallomas Train Station","Siofok","Hungary","\N","\N",46.907942,18.05366,416,"1","E","Europe/Budapest","station","User"
"8245",9686,"Malmo Central Station","Malmo","Sweden","XFP","\N",55.609467,13.000904,10,"1","E","Europe/Stockholm","station","User"
"8246",9687,"Lund Central Station","Lund","Sweden","XGC","\N",55.705543,13.186586,237,"1","E","Europe/Stockholm","station","User"
"8247",9688,"Helsingor Station","Helsingor","Denmark","\N","\N",56.0336,12.6144,0,"1","E","Europe/Copenhagen","station","User"
"8248",9689,"Odense Station","Odense","Denmark","\N","\N",55.401785,10.385973,404,"1","E","Europe/Copenhagen","station","User"
"8249",9690,"Tokaj Vasutallomas Station","Tokaj","Hungary","\N","\N",48.112887,21.407036,600,"1","E","Europe/Budapest","station","User"
"8250",9691,"Chopok Ski Resort","Chopok","Slovakia","\N","\N",48.946381,19.588889,3373,"1","E","Europe/Bratislava","unknown","User"
"8251",9692,"Brugge Railway Station","Bruges","Belgium","\N","\N",51.197708,3.217851,10,"1","E","Europe/Brussels","station","User"
"8252",9693,"Gare de Coo","Coo","Belgium","\N","\N",50.391156,5.880854,1220,"1","E","Europe/Brussels","unknown","User"
"8253",9694,"Knokke Station","Knokke","Belgium","\N","\N",51.341795,3.284919,0,"1","E","Europe/Brussels","station","User"
